"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION","AMOUNT"
"2168000",04/05/2026,"74","VAS","HYB","nj3",3,6
"21685008",04/05/2026,"75","VAS","PREPAID","_N",305,7625
"2168000",04/05/2026,"74","VAS","HYB","foo1",14,63
"2168000",04/05/2026,"74","VAS","PREPAID","mo2",7,245
"21685085",04/05/2026,"74","VAS","HYB","_N",9,1296
"2168000",04/05/2026,"74","VAS","PREPAID","est2",2,8
"21685353",04/05/2026,"74","VAS","PREPAID","_N",5,75
"2168000",05/05/2026,"74","VAS","PREPAID","qe3",4779,262845
"21685857",05/05/2026,"75","VAS","PREPAID","_N",3602,25214
"21685353",05/05/2026,"75","VAS","PREPAID","_N",6568,19704
"216855201",05/05/2026,"75","VAS","PREPAID","_N",13182,6591
"2168000",05/05/2026,"74","VAS","PREPAID","sw1",7407,44442
"2168000",05/05/2026,"74","VAS","HYB","plw1",4129,20645
"2168000",05/05/2026,"74","VAS","PREPAID","nj1",3272,6544
"21685198",05/05/2026,"75","VAS","PREPAID","_N",2815,14075
"2168000",05/05/2026,"74","VAS","PREPAID","esp",2278,1139
"2168000",05/05/2026,"74","VAS","HYB","cf",409,2045
"2168590603",05/05/2026,"75","VAS","HYB","_N",227,14074
"2168000",05/05/2026,"74","VAS","HYB","kow",1270,762
"2168000",05/05/2026,"74","VAS","PREPAID","too1",716,358
"2168000",05/05/2026,"74","VAS","HYB","ab1",155,775
"2168560601",05/05/2026,"75","VAS","HYB","_N",159,7155
"2168590601",05/05/2026,"75","VAS","HYB","_N",586,293
"2168000",05/05/2026,"74","VAS","HYB","raf",689,3445
"2168000",05/05/2026,"74","VAS","HYB","exs1",50,30
"2168000",05/05/2026,"74","VAS","HYB","nj1",78,156
"2168560603",05/05/2026,"75","VAS","HYB","_N",208,936
"2168000",05/05/2026,"74","VAS","HYB","mo1",86,516
"2168000",05/05/2026,"74","VAS","HYB","tts",188,94
"21685005",05/05/2026,"74","VAS","PREPAID","_N",2,19
"2168000",05/05/2026,"74","VAS","HYB","dsc",1,25
"2168000",05/05/2026,"74","VAS","PREPAID","nj2",23,161
"2168000",05/05/2026,"74","VAS","HYB","sh2",7,10493
"2168000",05/05/2026,"74","VAS","PREPAID","bus2",2,5
"2168000",05/05/2026,"74","VAS","PREPAID","exs2",1,35
"2168000",05/05/2026,"74","VAS","HYB","vib1",1,5
"2168000",06/05/2026,"74","VAS","PREPAID","fig",8258,45419
"216855201",06/05/2026,"75","VAS","PREPAID","_N",5685,28425
"2168000",06/05/2026,"74","VAS","HYB","nj1",78,156
"2168000",06/05/2026,"74","VAS","PREPAID","est1",1515,68175
"216853771",06/05/2026,"75","VAS","PREPAID","_N",1860,651
"2168560603",06/05/2026,"75","VAS","HYB","_N",187,8415
"21685220",06/05/2026,"75","VAS","HYB","_N",232,928
"2168000",06/05/2026,"74","VAS","HYB","es1",440,220
"216855193",06/05/2026,"75","VAS","PREPAID","_N",2947,41258
"2168000",06/05/2026,"74","VAS","HYB","smt1",634,2219
